objectid,title,creator,description,date,subject,source,identifier,format_original,format,type,rights,rightsstatement,language,filename,display_template,object_location,image_small,image_thumb
coursecatalogs001,The University of Idaho Bulletin: Catalog Number 1912-1913 with Announcements for 1913-1914,University of Idaho,"Scan of course catalog booklet, Vol. VIII, No. 3",1913-03,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,uicat_1913-1914.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1913-1914.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1913-1914_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1913-1914_th.jpg
coursecatalogs002,The University of Idaho Bulletin: Catalog Number 1913-1914 with Announcements for 1914-1915,University of Idaho,"Scan of course catalog booklet, Vol. IX, No. 3",1914-04,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,uicat_1914-1915.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1914-1915.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1914-1915_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1914-1915_th.jpg
coursecatalogs003,The University of Idaho Bulletin: Annual Catalog 1916-1917 with Announcements for 1917-1918,University of Idaho,"Scan of course catalog booklet, Vol. XII, No. 2",1917-05,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,uicat_1917-1918.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1917-1918.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1917-1918_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1917-1918_th.jpg
coursecatalogs004,The University of Idaho Bulletin: Annual Catalog 1919-1920 with Announcements for 1920-1921,University of Idaho,"Scan of course catalog booklet, Vol. XV, No. 3",1920-05,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,uicat_1920-1921.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1920-1921.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1920-1921_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1920-1921_th.jpg
coursecatalogs005,The University of Idaho Bulletin: Annual Catalog 1924-1925 with Announcements for 1925-1926,University of Idaho,"Scan of course catalog booklet, Vol. XX, No. 15",1925-04,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,eng,uicat_1925-1926.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1925-1926.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1925-1926_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1925-1926_th.jpg
coursecatalogs006,The University of Idaho Bulletin: Annual Catalog 1927-1928 with Announcements for 1928-1929,University of Idaho,"Scan of course catalog booklet, Vol. XXIII, No. 16",1928-05,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,uicat_1928-1929.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1928-1929.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1928-1929_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1928-1929_th.jpg
coursecatalogs007,The University of Idaho Bulletin: Annual Catalog 1928-1929 with Announcements for 1929-1930,University of Idaho,"Scan of course catalog booklet, Vol. XXIV, No. 12",1929-05,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,uicat_1929-1930.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1929-1930.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1929-1930_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1929-1930_th.jpg
coursecatalogs008,University of Idaho Bulletin: Catalog Number for 1931-1932 Sessions of the University of Idaho with Announcements for 1932-1933,University of Idaho,"Scan of course catalog booklet, Vol. XXVII, No. 1",1932-04,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,uicat_1932-1933.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1932-1933.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1932-1933_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1932-1933_th.jpg
coursecatalogs009,University of Idaho Bulletin: Catalog Number for 1932-1933 Sessions with Announcements for 1933-1934,University of Idaho,"Scan of course catalog booklet, Vol. XXVIII, No. 1",1933-04,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,uicat_1933-1934.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1933-1934.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1933-1934_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1933-1934_th.jpg
coursecatalogs010,University of Idaho Bulletin: Catalog Number for 1934-1935 Sessions with Announcements for 1935-1936,University of Idaho,"Scan of course catalog booklet, Vol. XXX, No. 1",1935-04,catalogs,Special Collections and Archives Records,UICAT,Print booklet,application/pdf,Text,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,uicat_1935-1936.pdf,pdf,https://objects.lib.uidaho.edu/coursecatalogs/uicat_1935-1936.pdf,https://objects.lib.uidaho.edu/coursecatalogs/small/uicat_1935-1936_sm.jpg,https://objects.lib.uidaho.edu/coursecatalogs/thumbs/uicat_1935-1936_th.jpg
